time,ID,x,y,SEQ,SPEED,ID,time,distance
3.6,2,-82.848052,34.682014,35,5.612691,1,3.5,0.524055159
3.6,2,-82.846762,34.677422,35,3.513133,1,3.5,0.523492865
3.7,1,-82.847596,34.681311,36,7.561222,0,3.6,0.000827959
3.7,2,-82.848051,34.682009,36,5.826952,1,3.6,0.52385908
3.7,2,-82.84676,34.677419,36,3.679289,1,3.6,0.523296799
3.8,1,-82.847587,34.681312,37,7.766203,0,3.7,0.000738472
3.8,2,-82.84805,34.682004,37,5.998723,1,3.7,0.523683666
3.8,2,-82.846757,34.677416,37,3.911681,1,3.7,0.523013084
3.9,1,-82.847579,34.681313,38,7.959536,0,3.8,0.000822499
3.9,2,-82.848049,34.681998,38,6.208056,1,3.8,0.52329174
3.9,2,-82.846754,34.677414,38,4.091716,1,3.8,0.522641897
4,1,-82.84757,34.681313,39,8.165304,0,3.9,0.000827959
4,2,-82.848049,34.681992,39,6.392004,1,3.9,0.523028991
4,2,-82.846751,34.677411,39,4.244397,1,3.9,0.522358484
4,5,-82.844296,34.683756,39,0,4,3.9,9.49E-05
4.1,1,-82.847561,34.681314,40,8.422204,0,4,0.000827959
4.1,2,-82.848048,34.681986,40,6.525017,1,4,0.522853966
4.1,2,-82.846748,34.677407,40,4.456924,1,4,0.52229176
4.1,5,-82.844296,34.683755,40,0.256064,4,4,0
4.2,1,-82.847552,34.681315,41,8.600924,0,4.1,0.000918682
4.2,2,-82.848047,34.681981,41,6.671197,1,4.1,0.522679027
4.2,2,-82.846745,34.677404,41,4.703311,1,4.1,0.521900302
4.2,5,-82.844296,34.683755,41,0.492199,4,4.1,9.49E-05
4.3,1,-82.847542,34.681316,42,8.768527,0,4.2,0.000913764
4.3,2,-82.848046,34.681974,42,6.875933,1,4.2,0.522287668
4.3,2,-82.846742,34.677401,42,4.899262,1,4.2,0.521617255
4.3,5,-82.844296,34.683754,42,0.735057,4,4.2,9.49E-05
4.5,1,-82.847532,34.681316,44,8.902233,0,4.4,0.000918682
